DATE,CPIAPPSL,CPIAUCSL,CPIFABSL,CPIHOSSL,CPITRNSL,CPIUFDSL,CUSR0000SAA1,CUSR0000SAA2,CUSR0000SAF11,CUSR0000SAF111,CUSR0000SAF112,CUSR0000SAF113,CUSR0000SAF114,CUSR0000SAF115,CUSR0000SAF116,CUSR0000SAH1,CUSR0000SAH2,CUSR0000SAH21,CUSR0000SAH3,CUSR0000SAT1,CUSR0000SEAE,CUSR0000SEAF,CUSR0000SEFJ,CUSR0000SEFP01,CUSR0000SEFR,CUSR0000SEFS,CUSR0000SEFT,CUSR0000SEFV,CUSR0000SEFV05,CUSR0000SEFW,CUSR0000SEFX,CUSR0000SEHA,CUSR0000SEHB,CUSR0000SEHC,CUSR0000SEHC01,CUSR0000SEHE,CUSR0000SEHF,CUSR0000SEHF01,CUSR0000SEHF02,CUSR0000SEHG,CUSR0000SETA,CUSR0000SETA01,CUSR0000SETA02,CUSR0000SETB,CUSR0000SETB01,CUSR0000SETC,CUSR0000SETD,CUSR0000SETG,CUSR0000SETG01
1947-01-01,38.400,21.480,,,17.900,22.800,40.700,53.600,,,,20.800,11.100,,,,,,,20.100,26.400,,,,,,,,,,,,,,,8.500,18.300,,,,,,,,,,,,
1947-02-01,38.800,21.620,,,17.900,23.100,41.000,54.200,,,,21.100,11.400,,,,,,,20.100,26.700,,,,,,,,,,,,,,,8.500,18.300,,,,,,,,,,,,
1947-03-01,39.400,22.000,,,18.100,23.800,41.300,55.200,,,,22.200,11.700,,,,,,,20.300,27.400,,,,,,,,,,,,,,,8.500,18.300,,,,,,,,,,,,
1947-04-01,39.700,22.000,,,18.300,23.500,41.500,55.500,,,,21.800,12.000,,,,,,,20.500,27.500,,,,,,,,,,,,,,,8.700,18.300,,,,,,,,,,,,
1947-05-01,39.800,21.950,,,18.300,23.400,41.500,55.600,,,,22.200,12.100,,,,,,,20.600,27.600,,,,,,,,,,,,,,,8.700,18.300,,,,,,,,,,,,
1947-06-01,40.000,22.080,,,18.400,23.500,41.600,55.800,,,,22.100,11.800,,,,,,,20.600,27.800,,,,,,,,,,,,,,,8.700,18.200,,,,,,,,,,,,
1947-07-01,40.000,22.230,,,18.500,23.800,41.600,55.800,,,,22.200,11.900,,,,,,,20.800,27.800,,,,,,,,,,,,,,,8.900,18.200,,,,,,,,,,,,
1947-08-01,40.100,22.400,,,18.500,24.100,41.700,56.200,,,,23.000,11.900,,,,,,,20.900,28.000,,,,,,,,,,,,,,,9.500,18.300,,,,,,,,,,,,
1947-09-01,40.200,22.840,,,18.700,24.800,41.700,56.100,,,,23.300,12.100,,,,,,,21.100,28.000,,,,,,,,,,,,,,,9.500,18.300,,,,,,,,,,,,
1947-10-01,40.400,22.910,,,18.800,24.900,41.900,56.300,,,,23.300,12.200,,,,,,,21.300,28.200,,,,,,,,,,,,,,,9.500,18.300,,,,,,,,,,,,
